county,ur_code,ur_code_name
Calhoun County,4,Small metro
Genesee County,3,Medium metro
Hillsdale County,6,Noncore
Ingham County,3,Medium metro
Jackson County,4,Small metro
Lapeer County,2,Large fringe metro
Lenawee County,5,Micropolitan
Livingston County,2,Large fringe metro
Macomb County,2,Large fringe metro
Monroe County,4,Small metro
Oakland County,2,Large fringe metro
Saginaw County,4,Small metro
St. Clair County,2,Large fringe metro
Sanilac County,6,Noncore
Shiawassee County,5,Micropolitan
Tuscola County,6,Noncore
Washtenaw County,3,Medium metro
Wayne County,1,Large central metro
