last_name,first_name,middle_name
ARCHDEACON,Colin,
Alderman,Lesley,
Angier,Natalie,
Anthes,Emily,
Aschwanden,Christie,
Bakalar,Nicholas,
Barry,Ellen,
Bazelon,Emily,
Beau,Emilie,Le
Belluck,Pam,
Berenstein,Erica,
Bhanoo,Sindya,N.
Bishop,Mac,William
Brody,Jane,E.
Brown,Harriet,
Brown,Karen,
CAREY,Benedict,
Callahan,Alice,
Carey,Benedict,
Chawla,Dalmeet,Singh
Chokshi,Niraj,
Damour,Lisa,
DeWall,C.,Nathan
Dobbs,David,
Dreifus,Claudia,
Elbein,Asher,
Ellin,Abby,
Ellison,Katherine,
Ghorayshi,Azeen,
Goldberg,Emma,
Goode,Erica,
Gorman,James,
Hodge,Channon,
Hoffman,Jan,
Iarovici,Doris,
Imbler,Sabrina,
Jacobs,Andrew,
Johnson,George,
Kitroeff,Natalie,
Klass,Perri,
Klein,Joanna,
Kolata,Gina,
Levine,David,
Louis,Catherine,Saint
Murphy,Heather,
Murphy,Kate,
Nuwer,Rachel,
Parker-Pope,Tara,
Paulos,John,Allen
Peachman,Rachel,Rabkin
Petersen,Andrea,
Petrow,Steven,
Preston,Elizabeth,
Quenqua,Douglas,
ROSTON,Michael,
Rabin,Roni,Caryn
Ray,C.,Claiborne
Redman,Effy,
Reese,Hope,
Requarth,Tim,
Reynolds,Gretchen,
Richtel,Matt,
Rosado,Pedro,Rafael
Saker,Anne,
Span,Paula,
St,Nicholas,
Szalavitz,Maia,
Tarkan,Laurie,
Tierney,John,
Weintraub,Karen,
Yin,Steph,
Zimmer,Carl,
