name,team,position,fastest_lap
Alexander Albon,Williams,13,1:37:355
Carlos Sainz,Ferrari,2,1:35:740
Charles Leclerc,Ferrari,1,1:34:570
Daniel Ricciardo,McLaren,14,1:37:261
Esteban Ocon,Alpine,7,1:37:110
Fernando Alonso,Alpine,9,1:36:733
George Russell,Mercedes,4,1:36:302
Kevin Magnussen,Haas,5, 1:36:623
Lance Stroll,Aston Martin,12,1:37:146
Lando Norris,McLaren,15,1:36:988
Lewis Hamilton,Mercedes,3,1:36:228
Max Verstappen,Red Bull,19,1:35:440
Mick Schumacher,Haas,11,1:36:956
Nicholas Latifi,Williams,16,1:38:251
Pierre Gasly,AlphaTauri,20,1:37:324
Niko Hulkenberg,Aston Martin,17,1:38:201
Sergio Perez,Red Bull,18,1:36:089
Valtteri Bottas,Alfa Romeo,6,1:36:599
Yuki Tsunoda,AlphaTauri,8,1:37:104
Zhou Guanyu,Alfa Romeo,10,1:36:685
